"id";"push_type";"push_date_time";"success";"user_id"
85;"ASK";"2019-03-30 16:22:26.975";"1";"oMzbs1A71vYPVjOPtWKPXyL2jFHU"
86;"ASK";"2019-03-30 16:24:11.273";"1";"oMzbs1AjHHELJZI4So4nR5W8ZYs4"
87;"Regular";"2019-03-30 16:25:50.757";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc"
88;"Regular";"2019-03-30 16:25:50.757";"";"oMzbs1AjHHELJZI4So4nR5W8ZYs4"
89;"Regular";"2019-03-30 16:25:50.757";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes"
90;"Regular";"2019-03-30 16:25:50.757";"";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
91;"Regular";"2019-03-30 16:25:50.757";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc"
92;"Regular";"2019-03-30 16:25:50.757";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU"
93;"ASK";"2019-03-30 18:36:04.571";"1";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
94;"ASK";"2019-03-31 12:06:57.709";"1";"oMzbs1AjHHELJZI4So4nR5W8ZYs4"
95;"ASK";"2019-04-03 09:52:21.554";"1";"oMzbs1AjHHELJZI4So4nR5W8ZYs4"
96;"ASK";"2019-04-05 12:41:32.660";"1";"oMzbs1OylgFGwtajxupMVe5EIaDQ"
97;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc"
98;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1OylgFGwtajxupMVe5EIaDQ"
99;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1AjHHELJZI4So4nR5W8ZYs4"
100;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes"
101;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1KMKaMvZBtlwQihhhQcE7jA"
102;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc"
103;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU"
104;"Regular";"2019-04-10 21:49:31.580";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU"
