"id";"property_value";"remark";"wx_user_id";"base_id"
114;"""女""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";1
115;"""1-100""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";2
116;"""165-175""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";3
118;"{""province"":""湖北省"",""city"":""武汉市"",""district"":"""",""street"":""""}";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";36
119;"[""本科""]";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";6
120;"[""国内一般"",""艺术院校""]";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";38
121;"[""均匀"",""偏胖""]";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";4
131;"[""O型""]";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";8
139;"[""男""]";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";1
140;"""19-35""";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";2
141;"""170-185""";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";3
142;"[""均匀""]";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";4
143;"{""province"":""浙江省"",""city"":"""",""district"":"""",""street"":""""}";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";36
144;"[""女""]";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";1
145;"""18-60""";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";2
146;"""155-185""";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";3
147;"[""均匀"",""偏瘦""]";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";4
148;"[""女""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";1
149;"""18-60""";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";2
150;"""150-185""";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";3
151;"[""均匀"",""偏瘦""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";4
152;"{""province"":""浙江省"",""city"":"""",""district"":"""",""street"":""""}";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";5
153;"{""province"":""浙江省"",""city"":"""",""district"":"""",""street"":""""}";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";36
154;"[""高中"",""大专"",""本科"",""硕士""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";6
155;"[""哲学"",""经济"",""法学"",""教育"",""文学"",""理学""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";7
156;"[""A"",""B"",""AB"",""O""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";8
157;"[""白羊座"",""金牛座"",""双子座"",""巨蟹座"",""狮子座"",""处女座"",""天枰座"",""天蝎座"",""射手座"",""摩羯座"",""水瓶座"",""双鱼座""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";9
158;"[""国内一般"",""国内一流"",""国际一流"",""艺术院校"",""其他""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";38
159;"[""男""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";1
160;"""23-25""";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";2
161;"""175左右""";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";3
162;"[""均匀"",""强壮""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";4
163;"[""大专"",""本科""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";6
164;"[""狮子座"",""射手座""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";9
165;"[""其他: 都可以""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";10
166;"[""6万-10万"",""10万-20万""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";11
167;"[""适当理财"",""精打细算""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";12
168;"[""基础""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";15
169;"""70""";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";16
170;"[""沉稳""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";18
171;"[""严肃"",""呆萌"",""幽默"",""逗逼""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";19
172;"[""乐意听朋友的"",""如果对方坚持会妥协""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";20
173;"[""坚强""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";21
174;"[""干脆果断""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";22
175;"[""安静的做自己的事"",""和朋友一起活动""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";23
176;"[""日久生情""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";24
177;"[""总是黏在一起"",""有自己的空间""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";25
178;"[""演唱会"",""户外""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";27
179;"[""经济能力内购买""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";28
180;"[""古迹"",""沙滩"",""游乐场""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";29
181;"[""确定恋爱关系后可以""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";30
182;"[""摇滚"",""民谣""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";31
183;"[""足球"",""篮球"",""游泳"",""健身""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";32
184;"[""音乐"",""美术"",""电影"",""摄影""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";33
185;"[""烹饪"",""时尚""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";34
186;"[""国内一般""]";"";"oMzbs1MtM-TQAY5sM-e0A89KrlyU";38
