"id";"property_value";"remark";"wx_user_id";"base_id"
116;"""男""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";1
117;"""27-29""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";2
118;"173";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";3
119;"[""均匀"",""强壮""]";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";4
120;"{""province"":""湖北省"",""city"":""荆州市"",""district"":"""",""street"":""""}";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";5
121;"{""province"":""湖北省"",""city"":""武汉市"",""district"":"""",""street"":""""}";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";36
122;"""硕士""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";6
123;"""哈哈哈""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";37
124;"""国内一流""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";38
135;"[""https://files.jinshuju.net/en/5c89eaa3c9cd286df7092f25/24_42_9D2B4F0F-EEE2-4F75-9221-B3BE94A41A3D.jpeg?token=7NK_Z1IEoKaIY6I9RXzO4b9uQPwuwdvnlGbzHZmF:l0hzGYgsqwQCUFwwiI9sdEH6IjM=:eyJTIjoiZmlsZXMuamluc2h1anUubmV0L2VuLzVjODllYWEzYzljZDI4NmRmNzA5MmYyNS8yNF80Ml85RDJCNEYwRi1FRUUyLTRGNzUtOTIyMS1CM0JFOTRBNDFBM0QuanBlZyoiLCJFIjoxODY4MTExOTI2fQ==&download""]";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";17
137;"""O型""";"";"oMzbs1A71vYPVjOPtWKPXyL2jFHU";8
145;"""女""";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";1
146;"163";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";3
147;"{""province"":""浙江省"",""city"":""衢州市"",""district"":"""",""street"":""""}";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";5
148;"{""province"":""浙江省"",""city"":""杭州市"",""district"":"""",""street"":""""}";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";36
149;"[""https://files.jinshuju.net/en/5c6eb78a6b067c2489e0035c/10_42_image.jpg?token=7NK_Z1IEoKaIY6I9RXzO4b9uQPwuwdvnlGbzHZmF:Ssp7vawuUFnyVsyej6pbof8dVOg=:eyJTIjoiZmlsZXMuamluc2h1anUubmV0L2VuLzVjNmViNzhhNmIwNjdjMjQ4OWUwMDM1Yy8xMF80Ml9pbWFnZS5qcGcqIiwiRSI6MTg2NjMyOTM1MX0=&download""]";"";"oMzbs1E1TTU1bfKVtbbC5vGC9mes";17
150;"""男""";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";1
151;"""1989-03-02""";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";2
152;"""lllllq""";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";37
153;"171";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";3
154;"{""province"":""浙江省"",""city"":""杭州市"",""district"":""滨江区"",""street"":""""}";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";5
155;"""硕士""";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";6
156;"[""均匀"",""偏胖"",""强壮""]";"";"oMzbs1Po0hzBgm3lrfcKOlrGHIEc";4
157;"""男""";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";1
158;"""1989-03-02""";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";2
159;"171";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";3
160;"[""均匀"",""偏瘦"",""强壮""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";4
161;"{""province"":""浙江省"",""city"":"""",""district"":"""",""street"":""""}";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";5
162;"{""province"":""浙江省"",""city"":"""",""district"":"""",""street"":""""}";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";36
163;"""本科""";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";6
164;"[""哲学"",""经济"",""其他""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";7
165;"[""O""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";8
166;"[""摩羯座""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";9
167;"[""工薪族"",""自由职业""]";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";10
168;"""wwwwww""";"";"oMzbs1MVtyorWF3WACRoyn7OqJkc";37
